,Country,Link
0,southern-asia,http://berkeleyearth.lbl.gov/regions/southern-asia
1,eastern-asia,http://berkeleyearth.lbl.gov/regions/eastern-asia
2,central-america,http://berkeleyearth.lbl.gov/regions/central-america
3,south-eastern-asia,http://berkeleyearth.lbl.gov/regions/south-eastern-asia
4,southern-africa,http://berkeleyearth.lbl.gov/regions/southern-africa
5,eastern-africa,http://berkeleyearth.lbl.gov/regions/eastern-africa
6,northern-africa,http://berkeleyearth.lbl.gov/regions/northern-africa
7,western-africa,http://berkeleyearth.lbl.gov/regions/western-africa
8,central-asia,http://berkeleyearth.lbl.gov/regions/central-asia
9,europe,http://berkeleyearth.lbl.gov/regions/europe
10,asia,http://berkeleyearth.lbl.gov/regions/asia
11,oceania,http://berkeleyearth.lbl.gov/regions/oceania
12,north-america,http://berkeleyearth.lbl.gov/regions/north-america
13,south-america,http://berkeleyearth.lbl.gov/regions/south-america
14,africa,http://berkeleyearth.lbl.gov/regions/africa
15,northern-hemisphere,http://berkeleyearth.lbl.gov/regions/northern-hemisphere
16,southern-hemisphere,http://berkeleyearth.lbl.gov/regions/southern-hemisphere
17,global-land,http://berkeleyearth.lbl.gov/regions/global-land