,Unnamed: 0,Country,Link
0,0,Afghanistan,http://berkeleyearth.lbl.gov/regions/afghanistan
1,1,Åland,http://berkeleyearth.lbl.gov/regions/åland
2,2,Albania,http://berkeleyearth.lbl.gov/regions/albania
3,3,Algeria,http://berkeleyearth.lbl.gov/regions/algeria
4,4,American Samoa,http://berkeleyearth.lbl.gov/regions/american-samoa
5,5,Andorra,http://berkeleyearth.lbl.gov/regions/andorra
6,6,Angola,http://berkeleyearth.lbl.gov/regions/angola
7,7,Anguilla,http://berkeleyearth.lbl.gov/regions/anguilla
8,8,Antarctica,http://berkeleyearth.lbl.gov/regions/antarctica
9,9,Antigua and Barb.,http://berkeleyearth.lbl.gov/regions/antigua-and-barbuda
10,10,Argentina,http://berkeleyearth.lbl.gov/regions/argentina
11,11,Armenia,http://berkeleyearth.lbl.gov/regions/armenia
12,12,Aruba,http://berkeleyearth.lbl.gov/regions/aruba
13,13,Australia,http://berkeleyearth.lbl.gov/regions/australia
14,14,Austria,http://berkeleyearth.lbl.gov/regions/austria
15,15,Azerbaijan,http://berkeleyearth.lbl.gov/regions/azerbaijan
16,16,Bahamas,http://berkeleyearth.lbl.gov/regions/bahamas
17,17,Bahrain,http://berkeleyearth.lbl.gov/regions/bahrain
18,18,Baker Island,http://berkeleyearth.lbl.gov/regions/baker-island
19,19,Bangladesh,http://berkeleyearth.lbl.gov/regions/bangladesh
20,20,Barbados,http://berkeleyearth.lbl.gov/regions/barbados
21,21,Belarus,http://berkeleyearth.lbl.gov/regions/belarus
22,22,Belgium,http://berkeleyearth.lbl.gov/regions/belgium
23,23,Belize,http://berkeleyearth.lbl.gov/regions/belize
24,24,Benin,http://berkeleyearth.lbl.gov/regions/benin
25,25,Bhutan,http://berkeleyearth.lbl.gov/regions/bhutan
26,26,Bolivia,http://berkeleyearth.lbl.gov/regions/bolivia
27,27,"Bonaire, Saint Eustatius and Saba","http://berkeleyearth.lbl.gov/regions/bonaire,-saint-eustatius-and-saba"
28,28,Bosnia and Herz.,http://berkeleyearth.lbl.gov/regions/bosnia-and-herzegovina
29,29,Botswana,http://berkeleyearth.lbl.gov/regions/botswana
30,30,Brazil,http://berkeleyearth.lbl.gov/regions/brazil
31,31,British Virgin Is.,http://berkeleyearth.lbl.gov/regions/british-virgin-islands
32,32,Bulgaria,http://berkeleyearth.lbl.gov/regions/bulgaria
33,33,Burkina Faso,http://berkeleyearth.lbl.gov/regions/burkina-faso
34,34,Myanmar,http://berkeleyearth.lbl.gov/regions/burma
35,35,Burundi,http://berkeleyearth.lbl.gov/regions/burundi
36,36,Cambodia,http://berkeleyearth.lbl.gov/regions/cambodia
37,37,Cameroon,http://berkeleyearth.lbl.gov/regions/cameroon
38,38,Canada,http://berkeleyearth.lbl.gov/regions/canada
39,39,Cabo Verde,http://berkeleyearth.lbl.gov/regions/cape-verde
40,40,Cayman Is.,http://berkeleyearth.lbl.gov/regions/cayman-islands
41,41,Central African Rep.,http://berkeleyearth.lbl.gov/regions/central-african-republic
42,42,Chad,http://berkeleyearth.lbl.gov/regions/chad
43,43,Chile,http://berkeleyearth.lbl.gov/regions/chile
44,44,China,http://berkeleyearth.lbl.gov/regions/china
45,45,Christmas Island,http://berkeleyearth.lbl.gov/regions/christmas-island
46,46,Colombia,http://berkeleyearth.lbl.gov/regions/colombia
47,47,Comoros,http://berkeleyearth.lbl.gov/regions/comoros
48,48,Congo,http://berkeleyearth.lbl.gov/regions/congo
49,49,Dem. Rep. Congo,http://berkeleyearth.lbl.gov/regions/congo-(democratic-republic-of-the)
50,50,Costa Rica,http://berkeleyearth.lbl.gov/regions/costa-rica
51,51,Côte d'Ivoire,http://berkeleyearth.lbl.gov/regions/côte-d'ivoire
52,52,Croatia,http://berkeleyearth.lbl.gov/regions/croatia
53,53,Cuba,http://berkeleyearth.lbl.gov/regions/cuba
54,54,Curaçao,http://berkeleyearth.lbl.gov/regions/curaçao
55,55,Cyprus,http://berkeleyearth.lbl.gov/regions/cyprus
56,56,Czechia,http://berkeleyearth.lbl.gov/regions/czech-republic
57,57,Denmark,http://berkeleyearth.lbl.gov/regions/denmark
58,58,Denmark,http://berkeleyearth.lbl.gov/regions/denmark-(europe)
59,59,Djibouti,http://berkeleyearth.lbl.gov/regions/djibouti
60,60,Dominica,http://berkeleyearth.lbl.gov/regions/dominica
61,61,Dominican Rep.,http://berkeleyearth.lbl.gov/regions/dominican-republic
62,62,Ecuador,http://berkeleyearth.lbl.gov/regions/ecuador
63,63,Egypt,http://berkeleyearth.lbl.gov/regions/egypt
64,64,El Salvador,http://berkeleyearth.lbl.gov/regions/el-salvador
65,65,Eq. Guinea,http://berkeleyearth.lbl.gov/regions/equatorial-guinea
66,66,Eritrea,http://berkeleyearth.lbl.gov/regions/eritrea
67,67,Estonia,http://berkeleyearth.lbl.gov/regions/estonia
68,68,Ethiopia,http://berkeleyearth.lbl.gov/regions/ethiopia
69,69,Falkland Is.,http://berkeleyearth.lbl.gov/regions/falkland-islands-(islas-malvinas)
70,70,Faeroe Is.,http://berkeleyearth.lbl.gov/regions/faroe-islands
71,71,Micronesia,http://berkeleyearth.lbl.gov/regions/federated-states-of-micronesia
72,72,Fiji,http://berkeleyearth.lbl.gov/regions/fiji
73,73,Finland,http://berkeleyearth.lbl.gov/regions/finland
74,74,France,http://berkeleyearth.lbl.gov/regions/france
75,75,France,http://berkeleyearth.lbl.gov/regions/france-(europe)
76,76,French Guiana,http://berkeleyearth.lbl.gov/regions/french-guiana
77,77,Fr. Polynesia,http://berkeleyearth.lbl.gov/regions/french-polynesia
78,78,Fr. S. Antarctic Lands,http://berkeleyearth.lbl.gov/regions/french-southern-and-antarctic-lands
79,79,Gabon,http://berkeleyearth.lbl.gov/regions/gabon
80,80,Gambia,http://berkeleyearth.lbl.gov/regions/gambia
81,81,Gaza Strip,http://berkeleyearth.lbl.gov/regions/gaza-strip
82,82,Georgia,http://berkeleyearth.lbl.gov/regions/georgia
83,83,Germany,http://berkeleyearth.lbl.gov/regions/germany
84,84,Ghana,http://berkeleyearth.lbl.gov/regions/ghana
85,85,Greece,http://berkeleyearth.lbl.gov/regions/greece
86,86,Greenland,http://berkeleyearth.lbl.gov/regions/greenland
87,87,Grenada,http://berkeleyearth.lbl.gov/regions/grenada
88,88,Guadeloupe,http://berkeleyearth.lbl.gov/regions/guadeloupe
89,89,Guam,http://berkeleyearth.lbl.gov/regions/guam
90,90,Guatemala,http://berkeleyearth.lbl.gov/regions/guatemala
91,91,Guernsey,http://berkeleyearth.lbl.gov/regions/guernsey
92,92,Guinea,http://berkeleyearth.lbl.gov/regions/guinea
93,93,Guinea-Bissau,http://berkeleyearth.lbl.gov/regions/guinea-bissau
94,94,Guyana,http://berkeleyearth.lbl.gov/regions/guyana
95,95,Haiti,http://berkeleyearth.lbl.gov/regions/haiti
96,96,Heard I. and McDonald Is.,http://berkeleyearth.lbl.gov/regions/heard-island-and-mcdonald-islands
97,97,Honduras,http://berkeleyearth.lbl.gov/regions/honduras
98,98,Hong Kong,http://berkeleyearth.lbl.gov/regions/hong-kong
99,99,Hungary,http://berkeleyearth.lbl.gov/regions/hungary
100,100,Iceland,http://berkeleyearth.lbl.gov/regions/iceland
101,101,India,http://berkeleyearth.lbl.gov/regions/india
102,102,Indonesia,http://berkeleyearth.lbl.gov/regions/indonesia
103,103,Iran,http://berkeleyearth.lbl.gov/regions/iran
104,104,Iraq,http://berkeleyearth.lbl.gov/regions/iraq
105,105,Ireland,http://berkeleyearth.lbl.gov/regions/ireland
106,106,Isle of Man,http://berkeleyearth.lbl.gov/regions/isle-of-man
107,107,Israel,http://berkeleyearth.lbl.gov/regions/israel
108,108,Italy,http://berkeleyearth.lbl.gov/regions/italy
109,109,Jamaica,http://berkeleyearth.lbl.gov/regions/jamaica
110,110,Japan,http://berkeleyearth.lbl.gov/regions/japan
111,111,Jersey,http://berkeleyearth.lbl.gov/regions/jersey
112,112,Jordan,http://berkeleyearth.lbl.gov/regions/jordan
113,113,Kazakhstan,http://berkeleyearth.lbl.gov/regions/kazakhstan
114,114,Kenya,http://berkeleyearth.lbl.gov/regions/kenya
115,115,Kingman Reef,http://berkeleyearth.lbl.gov/regions/kingman-reef
116,116,Kiribati,http://berkeleyearth.lbl.gov/regions/kiribati
117,117,Kuwait,http://berkeleyearth.lbl.gov/regions/kuwait
118,118,Kyrgyzstan,http://berkeleyearth.lbl.gov/regions/kyrgyzstan
119,119,Laos,http://berkeleyearth.lbl.gov/regions/laos
120,120,Latvia,http://berkeleyearth.lbl.gov/regions/latvia
121,121,Lebanon,http://berkeleyearth.lbl.gov/regions/lebanon
122,122,Lesotho,http://berkeleyearth.lbl.gov/regions/lesotho
123,123,Liberia,http://berkeleyearth.lbl.gov/regions/liberia
124,124,Libya,http://berkeleyearth.lbl.gov/regions/libya
125,125,Liechtenstein,http://berkeleyearth.lbl.gov/regions/liechtenstein
126,126,Lithuania,http://berkeleyearth.lbl.gov/regions/lithuania
127,127,Luxembourg,http://berkeleyearth.lbl.gov/regions/luxembourg
128,128,Macao,http://berkeleyearth.lbl.gov/regions/macau
129,129,Macedonia,http://berkeleyearth.lbl.gov/regions/macedonia
130,130,Madagascar,http://berkeleyearth.lbl.gov/regions/madagascar
131,131,Malawi,http://berkeleyearth.lbl.gov/regions/malawi
132,132,Malaysia,http://berkeleyearth.lbl.gov/regions/malaysia
133,133,Mali,http://berkeleyearth.lbl.gov/regions/mali
134,134,Malta,http://berkeleyearth.lbl.gov/regions/malta
135,135,Martinique,http://berkeleyearth.lbl.gov/regions/martinique
136,136,Mauritania,http://berkeleyearth.lbl.gov/regions/mauritania
137,137,Mauritius,http://berkeleyearth.lbl.gov/regions/mauritius
138,138,Mayotte,http://berkeleyearth.lbl.gov/regions/mayotte
139,139,Mexico,http://berkeleyearth.lbl.gov/regions/mexico
140,140,Moldova,http://berkeleyearth.lbl.gov/regions/moldova
141,141,Monaco,http://berkeleyearth.lbl.gov/regions/monaco
142,142,Mongolia,http://berkeleyearth.lbl.gov/regions/mongolia
143,143,Montenegro,http://berkeleyearth.lbl.gov/regions/montenegro
144,144,Montserrat,http://berkeleyearth.lbl.gov/regions/montserrat
145,145,Morocco,http://berkeleyearth.lbl.gov/regions/morocco
146,146,Mozambique,http://berkeleyearth.lbl.gov/regions/mozambique
147,147,Namibia,http://berkeleyearth.lbl.gov/regions/namibia
148,148,Nepal,http://berkeleyearth.lbl.gov/regions/nepal
149,149,Netherlands,http://berkeleyearth.lbl.gov/regions/netherlands
150,150,Netherlands,http://berkeleyearth.lbl.gov/regions/netherlands-(europe)
151,151,New Caledonia,http://berkeleyearth.lbl.gov/regions/new-caledonia
152,152,New Zealand,http://berkeleyearth.lbl.gov/regions/new-zealand
153,153,Nicaragua,http://berkeleyearth.lbl.gov/regions/nicaragua
154,154,Niger,http://berkeleyearth.lbl.gov/regions/niger
155,155,Nigeria,http://berkeleyearth.lbl.gov/regions/nigeria
156,156,Niue,http://berkeleyearth.lbl.gov/regions/niue
157,157,North Korea,http://berkeleyearth.lbl.gov/regions/north-korea
158,158,N. Mariana Is.,http://berkeleyearth.lbl.gov/regions/northern-mariana-islands
159,159,Norway,http://berkeleyearth.lbl.gov/regions/norway
160,160,Oman,http://berkeleyearth.lbl.gov/regions/oman
161,161,Pakistan,http://berkeleyearth.lbl.gov/regions/pakistan
162,162,Palau,http://berkeleyearth.lbl.gov/regions/palau
163,163,Palestine,http://berkeleyearth.lbl.gov/regions/palestina
164,164,Palmyra Atoll,http://berkeleyearth.lbl.gov/regions/palmyra-atoll
165,165,Panama,http://berkeleyearth.lbl.gov/regions/panama
166,166,Papua New Guinea,http://berkeleyearth.lbl.gov/regions/papua-new-guinea
167,167,Paraguay,http://berkeleyearth.lbl.gov/regions/paraguay
168,168,Peru,http://berkeleyearth.lbl.gov/regions/peru
169,169,Philippines,http://berkeleyearth.lbl.gov/regions/philippines
170,170,Poland,http://berkeleyearth.lbl.gov/regions/poland
171,171,Portugal,http://berkeleyearth.lbl.gov/regions/portugal
172,172,Puerto Rico,http://berkeleyearth.lbl.gov/regions/puerto-rico
173,173,Qatar,http://berkeleyearth.lbl.gov/regions/qatar
174,174,Reunion,http://berkeleyearth.lbl.gov/regions/reunion
175,175,Romania,http://berkeleyearth.lbl.gov/regions/romania
176,176,Russia,http://berkeleyearth.lbl.gov/regions/russia
177,177,Rwanda,http://berkeleyearth.lbl.gov/regions/rwanda
178,178,St-Barthélemy,http://berkeleyearth.lbl.gov/regions/saint-barthélemy
179,179,St. Kitts and Nevis,http://berkeleyearth.lbl.gov/regions/saint-kitts-and-nevis
180,180,Saint Lucia,http://berkeleyearth.lbl.gov/regions/saint-lucia
181,181,St-Martin,http://berkeleyearth.lbl.gov/regions/saint-martin
182,182,St. Pierre and Miquelon,http://berkeleyearth.lbl.gov/regions/saint-pierre-and-miquelon
183,183,St. Vin. and Gren.,http://berkeleyearth.lbl.gov/regions/saint-vincent-and-the-grenadines
184,184,Samoa,http://berkeleyearth.lbl.gov/regions/samoa
185,185,San Marino,http://berkeleyearth.lbl.gov/regions/san-marino
186,186,São Tomé and Principe,http://berkeleyearth.lbl.gov/regions/sao-tome-and-principe
187,187,Saudi Arabia,http://berkeleyearth.lbl.gov/regions/saudi-arabia
188,188,Senegal,http://berkeleyearth.lbl.gov/regions/senegal
189,189,Serbia,http://berkeleyearth.lbl.gov/regions/serbia
190,190,Seychelles,http://berkeleyearth.lbl.gov/regions/seychelles
191,191,Sierra Leone,http://berkeleyearth.lbl.gov/regions/sierra-leone
192,192,Singapore,http://berkeleyearth.lbl.gov/regions/singapore
193,193,Sint Maarten,http://berkeleyearth.lbl.gov/regions/sint-maarten
194,194,Slovakia,http://berkeleyearth.lbl.gov/regions/slovakia
195,195,Slovenia,http://berkeleyearth.lbl.gov/regions/slovenia
196,196,Solomon Is.,http://berkeleyearth.lbl.gov/regions/solomon-islands
197,197,Somalia,http://berkeleyearth.lbl.gov/regions/somalia
198,198,South Africa,http://berkeleyearth.lbl.gov/regions/south-africa
199,199,S. Geo. and the Is,http://berkeleyearth.lbl.gov/regions/south-georgia-and-the-south-sandwich-isla
200,200,South Korea,http://berkeleyearth.lbl.gov/regions/south-korea
201,201,Spain,http://berkeleyearth.lbl.gov/regions/spain
202,202,Sri Lanka,http://berkeleyearth.lbl.gov/regions/sri-lanka
203,203,Sudan,http://berkeleyearth.lbl.gov/regions/sudan
204,204,Suriname,http://berkeleyearth.lbl.gov/regions/suriname
205,205,Svalbard and Jan Mayen,http://berkeleyearth.lbl.gov/regions/svalbard-and-jan-mayen
206,206,eSwatini,http://berkeleyearth.lbl.gov/regions/swaziland
207,207,Sweden,http://berkeleyearth.lbl.gov/regions/sweden
208,208,Switzerland,http://berkeleyearth.lbl.gov/regions/switzerland
209,209,Syria,http://berkeleyearth.lbl.gov/regions/syria
210,210,Taiwan,http://berkeleyearth.lbl.gov/regions/taiwan
211,211,Tajikistan,http://berkeleyearth.lbl.gov/regions/tajikistan
212,212,Tanzania,http://berkeleyearth.lbl.gov/regions/tanzania
213,213,Thailand,http://berkeleyearth.lbl.gov/regions/thailand
214,214,Timor-Leste,http://berkeleyearth.lbl.gov/regions/timor-leste
215,215,Togo,http://berkeleyearth.lbl.gov/regions/togo
216,216,Tonga,http://berkeleyearth.lbl.gov/regions/tonga
217,217,Trinidad and Tobago,http://berkeleyearth.lbl.gov/regions/trinidad-and-tobago
218,218,Tunisia,http://berkeleyearth.lbl.gov/regions/tunisia
219,219,Turkey,http://berkeleyearth.lbl.gov/regions/turkey
220,220,Turkmenistan,http://berkeleyearth.lbl.gov/regions/turkmenistan
221,221,Turks and Caicos Is.,http://berkeleyearth.lbl.gov/regions/turks-and-caicas-islands
222,222,Uganda,http://berkeleyearth.lbl.gov/regions/uganda
223,223,Ukraine,http://berkeleyearth.lbl.gov/regions/ukraine
224,224,United Arab Emirates,http://berkeleyearth.lbl.gov/regions/united-arab-emirates
225,225,United Kingdom,http://berkeleyearth.lbl.gov/regions/united-kingdom
226,226,United Kingdom,http://berkeleyearth.lbl.gov/regions/united-kingdom-(europe)
227,227,United States of America,http://berkeleyearth.lbl.gov/regions/united-states
228,228,Uruguay,http://berkeleyearth.lbl.gov/regions/uruguay
229,229,Uzbekistan,http://berkeleyearth.lbl.gov/regions/uzbekistan
230,230,Venezuela,http://berkeleyearth.lbl.gov/regions/venezuela
231,231,Vietnam,http://berkeleyearth.lbl.gov/regions/vietnam
232,232,U.S. Virgin Is.,http://berkeleyearth.lbl.gov/regions/virgin-islands
233,233,W. Sahara,http://berkeleyearth.lbl.gov/regions/western-sahara
234,234,Yemen,http://berkeleyearth.lbl.gov/regions/yemen
235,235,Zambia,http://berkeleyearth.lbl.gov/regions/zambia
236,236,Zimbabwe,http://berkeleyearth.lbl.gov/regions/zimbabwe
